11.23	16.8	7.3	2.9	63.1	0.3
7.16	10.5	4.9	5.5	72.3	0.0
12.60	13.3	2.2	2.5	56.4	1.9
9.97	16.3	5.2	2.8	43.9	6.8
7.38	11.2	4.1	3.5	64.0	6.0
7.16	7.6	3.0	5.8	71.6	1.1
3.64	9.8	3.9	5.2	81.9	0.0
3.60	10.7	5.1	5.4	80.9	7.8
4.93	7.5	4.1	3.1	89.0	4.3
11.92	9.5	4.3	2.6	86.4	0.0
4.93	10.4	3.4	1.5	87.9	0.0
9.83	12.3	4.0	1.6	71.9	0.0
10.91	13.8	3.1	3.0	51.4	11.8
12.06	14.5	2.8	2.7	61.7	0.5
12.31	13.3	3.6	1.2	81.6	0.0
13.46	16.0	3.5	1.6	55.5	0.0
13.21	18.0	5.1	2.5	36.1	0.0
11.95	16.9	2.8	2.3	54.0	0.0
10.40	13.7	5.4	2.6	81.3	0.0
7.63	13.1	6.7	3.9	78.6	0.0
4.93	12.4	3.9	5.0	81.3	0.0
14.18	12.8	4.9	2.0	73.0	0.0
14.94	14.9	2.7	2.8	47.4	0.0
13.93	16.7	4.3	3.4	33.1	0.0
13.46	19.5	4.3	3.7	32.8	0.0
9.79	22.3	9.1	4.5	33.5	4.0
2.30	13.2	9.0	5.3	88.8	0.2
6.84	12.6	8.5	3.8	94.5	0.0
16.09	12.7	5.6	1.5	86.2	0.0
15.73	15.7	3.0	1.0	70.9	0.0
14.36	19.2	3.6	1.7	40.1	0.0
14.94	21.3	5.4	2.6	19.4	0.0
12.67	20.4	5.1	2.3	24.8	0.0
11.74	21.2	5.7	2.4	24.0	0.0
13.14	22.0	6.7	3.8	21.4	0.3
10.19	25.0	8.8	4.7	21.1	15.4
8.75	24.7	11.6	3.1	24.9	0.0
12.24	22.6	8.6	1.2	37.7	0.0
12.38	25.7	10.2	3.5	24.9	0.0
8.53	24.3	10.5	2.3	32.3	1.5
11.30	15.7	10.6	6.1	68.4	1.3
4.57	15.3	9.1	4.3	59.2	0.0
6.30	14.0	9.3	3.4	84.8	1.1
13.39	16.0	8.1	1.1	82.0	0.0
17.39	19.3	7.2	1.6	63.3	0.0
15.55	20.5	7.1	1.1	53.0	0.0
14.00	16.8	6.2	2.8	66.2	0.0
14.44	17.6	6.6	2.8	37.4	0.0
18.29	17.1	3.8	1.8	23.0	0.0
19.51	19.0	2.8	1.5	20.5	0.0
15.30	22.9	6.1	2.4	17.2	0.3
17.42	23.7	6.9	2.9	32.1	1.6
15.08	25.8	7.1	3.0	34.9	0.0
15.59	17.7	9.6	6.2	48.5	1.9
13.25	19.8	7.7	4.5	56.9	0.0
12.96	16.0	5.4	4.5	63.9	0.0
15.55	17.9	2.5	1.9	44.0	0.0
15.70	22.0	5.8	3.1	23.5	0.0
15.52	22.8	6.6	2.2	23.9	0.0
18.43	23.1	5.6	1.3	24.1	0.0
16.45	24.2	6.6	1.4	20.8	0.0
17.60	25.0	8.7	1.5	23.1	0.0
17.57	26.4	8.9	2.0	26.0	0.0
17.57	28.0	12.5	5.2	25.3	0.0
17.57	27.2	14.9	2.8	17.6	0.0
17.60	28.0	11.2	1.8	17.8	0.0
19.12	25.4	9.2	1.9	23.4	0.0
18.43	30.0	11.2	4.1	16.6	0.4
17.35	33.3	16.5	4.4	12.9	4.4
15.70	25.9	11.4	3.7	35.3	0.0
17.71	20.1	9.5	3.6	60.8	0.0
15.48	19.1	10.2	3.4	68.3	0.0
18.50	20.1	9.4	1.7	65.0	0.0
19.15	22.2	9.4	2.4	55.6	0.0
11.09	18.3	10.6	2.6	76.3	0.0
20.16	17.2	11.2	1.0	80.6	0.0
14.51	23.5	11.4	5.7	59.3	0.0
17.35	16.6	9.3	4.9	73.6	0.0
9.68	17.5	8.4	6.7	71.0	0.0
17.82	19.5	8.6	4.8	72.4	0.0
23.65	26.0	7.5	4.2	41.3	0.0
23.44	27.3	9.8	3.8	32.7	0.0
21.96	25.3	11.1	5.6	36.8	0.0
19.87	15.9	8.2	4.1	66.7	0.0
16.78	17.4	5.6	3.1	54.2	0.0
13.79	15.9	7.8	4.6	69.2	0.0
13.46	13.3	8.2	5.0	79.4	0.0
20.59	18.6	5.8	2.1	55.2	13.2
9.65	28.9	12.2	5.4	23.8	17.5
15.19	18.1	10.2	3.0	62.9	0.0
9.97	15.1	6.7	3.9	68.5	0.0
7.88	17.1	8.6	5.1	72.2	0.0
13.21	19.8	7.7	2.6	66.3	0.0
23.62	30.5	9.3	3.2	33.1	0.0
14.98	31.4	14.8	5.7	26.2	0.0
24.62	20.2	11.1	4.1	63.7	0.0
24.77	20.3	10.4	2.8	65.2	0.0
26.32	23.0	10.2	3.0	51.5	0.0
25.99	26.8	10.2	2.7	37.6	0.0
24.41	27.5	12.1	2.9	35.2	0.0
27.11	26.4	11.0	3.7	31.1	0.0
26.32	28.8	10.8	1.8	27.2	0.0
26.42	33.2	16.7	1.7	21.4	0.0
12.85	36.0	18.2	3.1	20.3	0.7
14.80	33.5	20.8	2.9	22.0	10.2
24.05	25.1	14.7	3.8	48.7	0.0
23.58	21.4	11.4	3.7	60.4	0.0
21.31	20.2	11.5	3.9	65.2	0.0
18.40	20.0	10.3	4.4	60.4	0.0
14.83	20.2	11.8	5.1	62.4	0.0
20.66	21.2	11.2	3.1	60.5	0.0
27.58	25.9	9.5	1.7	39.0	0.0
11.12	32.3	15.2	6.0	31.0	0.0
24.88	23.0	12.7	4.1	52.2	0.0
9.29	23.0	9.7	2.5	41.7	0.0
26.86	23.7	10.6	4.2	50.2	0.0
23.44	22.9	10.0	3.6	42.8	0.0
30.46	24.6	9.6	2.9	41.0	0.0
27.50	23.8	11.2	3.7	52.3	0.0
27.25	23.8	11.2	3.8	57.3	0.0
24.91	21.4	12.6	4.0	62.2	0.0
21.96	21.3	10.5	3.7	69.4	0.0
26.06	25.2	11.6	2.8	57.3	0.0
26.17	27.3	12.0	2.0	43.2	0.0
26.17	29.4	12.3	2.3	30.6	0.0
27.83	27.6	12.1	3.0	36.9	0.0
27.14	26.2	12.7	3.6	45.7	0.0
26.35	27.2	11.6	2.8	39.4	0.0
12.06	32.2	13.9	2.3	25.3	1.7
26.53	29.9	17.0	3.5	26.9	0.0
26.24	27.5	13.7	3.7	37.6	0.0
26.32	30.5	14.0	2.2	29.6	0.0
23.29	24.6	15.5	4.9	49.8	0.0
17.89	23.2	14.4	4.7	62.7	0.0
30.46	27.6	13.0	1.6	47.0	0.0
27.04	29.3	15.2	2.8	42.3	0.0
25.70	25.5	15.2	4.2	59.1	0.0
24.62	27.1	14.2	3.9	55.8	0.0
28.04	28.0	14.0	4.4	46.6	0.0
28.33	29.7	13.0	2.6	37.4	0.0
27.58	31.7	14.0	3.0	30.6	1.5
27.32	26.0	15.1	3.1	55.8	0.0
30.38	26.5	14.2	3.0	55.3	0.0
28.76	33.6	14.5	2.3	33.1	0.0
29.95	34.7	17.9	2.6	28.4	0.0
29.52	30.0	16.7	3.2	38.5	0.0
26.68	26.7	16.4	4.2	52.7	0.0
26.64	29.0	16.8	3.9	50.1	0.0
26.17	32.3	16.9	2.7	36.8	0.0
28.94	27.7	17.0	3.4	44.3	0.0
28.62	26.9	15.3	3.4	51.4	0.0
27.47	27.6	15.4	3.3	53.9	0.0
28.87	30.2	16.1	2.2	44.3	0.0
27.40	26.6	15.5	4.4	51.7	0.0
27.29	26.0	14.1	3.7	47.2	0.0
28.80	28.8	14.4	3.3	46.8	0.8
30.64	36.1	18.6	3.3	27.8	0.0
30.06	41.1	23.0	3.4	13.6	0.0
30.17	42.1	23.8	2.5	13.4	0.0
30.42	38.1	21.5	2.6	26.0	0.0
30.89	32.6	19.6	3.8	44.0	0.0
27.07	27.6	18.8	4.0	56.4	0.0
29.27	29.8	18.2	3.8	50.7	0.0
28.62	30.8	18.7	3.8	51.5	0.0
30.24	31.3	19.3	4.6	55.6	0.0
29.66	30.2	19.7	4.4	49.3	0.0
29.27	29.6	17.4	4.2	46.9	0.0
30.06	29.8	17.2	4.5	45.1	0.0
29.16	30.6	17.1	3.9	51.6	0.0
29.27	29.8	19.0	4.3	38.7	0.0
26.75	29.2	16.5	3.6	43.0	0.0
31.46	29.8	18.1	3.3	43.6	0.0
30.82	30.3	18.3	3.4	36.2	0.0
30.92	30.8	18.2	3.5	31.6	0.0
30.10	30.4	17.9	3.6	45.3	0.0
26.68	30.8	19.8	4.7	52.1	0.0
28.73	30.9	20.4	4.6	51.8	0.0
28.04	30.0	18.5	3.5	61.1	0.0
27.97	31.4	19.3	3.3	60.4	0.0
29.52	33.5	20.4	4.2	49.6	0.0
30.49	33.5	19.5	3.6	47.7	0.0
30.74	34.2	20.0	3.3	42.6	0.0
29.41	31.7	20.8	3.8	49.5	0.0
29.84	31.1	19.9	4.5	61.5	0.0
29.77	34.4	20.1	3.3	45.5	0.0
30.71	35.5	21.2	3.1	42.9	0.0
27.61	33.8	21.1	3.6	42.9	0.0
28.01	32.8	20.8	3.8	48.5	0.0
29.84	32.9	21.0	2.7	41.9	0.0
29.09	35.1	20.9	2.2	37.5	0.0
28.58	31.5	22.5	3.7	55.5	0.0
30.60	32.3	21.1	3.1	52.9	0.0
28.19	33.4	21.7	3.3	44.7	0.0
27.43	32.8	22.1	3.5	48.3	0.0
27.72	32.3	21.1	3.6	60.8	0.0
28.26	34.1	22.6	3.0	51.4	0.0
25.70	35.9	23.2	3.6	44.9	0.0
26.53	36.4	23.0	3.6	43.2	0.0
28.51	34.8	23.3	4.5	49.2	0.0
29.16	33.7	22.6	4.3	42.6	0.0
28.44	32.8	22.2	3.4	50.1	0.0
28.15	30.1	21.7	3.8	61.6	0.0
24.77	30.4	21.5	4.3	63.5	0.0
27.32	31.6	21.5	4.0	61.5	0.0
26.21	32.1	21.2	3.9	62.8	0.0
28.73	33.9	20.0	2.7	41.0	0.0
28.80	34.0	21.3	3.9	39.4	0.0
28.15	35.0	21.6	4.6	43.3	0.0
27.76	39.3	22.0	5.4	34.8	0.0
27.58	39.9	23.7	5.9	27.9	0.0
28.55	41.1	24.1	4.8	22.0	0.0
29.20	39.7	23.7	4.1	27.8	0.0
26.60	34.0	22.7	3.2	50.7	0.0
27.61	33.3	22.0	3.2	46.4	0.0
25.70	32.0	21.7	3.3	61.9	0.0
28.48	34.8	21.4	3.3	53.0	0.0
27.11	33.4	22.7	3.6	50.5	0.0
26.42	34.2	22.0	3.7	50.0	0.0
28.55	34.8	21.7	3.3	51.4	0.0
24.80	30.9	22.3	3.7	65.1	0.0
24.88	32.8	22.2	3.2	50.3	0.0
27.97	33.9	21.8	3.7	47.3	0.0
27.79	35.9	22.7	3.7	47.2	0.0
26.86	35.8	22.5	4.1	46.9	0.0
24.84	32.4	23.1	4.4	59.5	0.0
23.00	30.4	22.1	4.4	60.6	0.0
26.14	30.7	20.9	4.5	57.6	0.0
23.44	29.8	20.8	4.0	60.7	0.0
20.70	30.0	21.1	3.6	58.2	0.0
25.27	31.2	20.2	2.9	56.2	0.0
25.74	30.9	21.4	3.0	53.3	0.0
24.41	31.2	21.2	3.1	48.9	0.0
25.06	30.9	20.6	2.7	55.1	0.0
21.24	32.2	20.7	2.2	49.8	0.0
25.38	31.7	21.2	3.2	53.2	0.0
24.88	32.0	22.0	3.7	58.1	0.0
24.70	31.0	21.4	4.1	65.5	0.0
21.60	32.1	19.6	3.0	51.3	0.0
24.84	32.8	19.6	3.3	44.9	0.0
25.09	32.6	19.7	3.0	40.9	0.0
23.11	32.6	19.5	2.4	41.4	0.0
23.08	31.9	20.3	3.2	46.8	0.0
23.36	32.8	20.3	2.8	41.4	0.0
21.60	32.4	20.5	3.1	41.0	0.0
22.36	30.4	21.4	3.5	53.3	0.0
22.93	29.9	20.6	3.2	59.0	0.0
22.10	29.9	20.4	3.6	57.8	0.0
24.84	29.4	20.8	3.4	60.5	0.0
21.78	29.6	20.8	3.9	55.5	0.0
24.66	29.2	19.8	3.0	56.9	0.0
25.31	30.5	19.0	2.8	48.6	0.0
25.13	33.5	19.3	1.9	37.5	0.0
24.01	34.5	21.4	4.0	40.5	0.0
20.70	29.2	20.3	3.8	56.0	0.0
22.75	30.3	18.9	2.7	47.5	0.0
22.64	30.5	18.7	2.9	49.0	0.0
22.54	34.0	18.2	3.7	37.6	0.0
20.84	36.2	20.9	2.7	28.3	0.0
21.13	37.5	20.5	2.7	24.1	0.0
