8.1	27.8	17.0
0.0	28.6	15.0
0.0	31.0	20.0
0.9	30.0	18.0
0.0	25.2	15.2
0.5	30.2	15.6
1.5	27.8	17.0
0.0	26.0	18.0
0.0	27.2	19.6
0.0	30.0	14.1
0.0	34.0	20.0
10.0	33.2	20.2
29.5	30.0	22.0
0.0	28.4	16.0
2.0	30.0	19.0
0.0	30.2	20.0
0.0	31.2	18.0
0.0	31.8	19.0
0.0	31.4	20.0
21.0	33.0	20.1
0.0	25.5	20.6
16.5	29.0	20.0
3.7	30.8	18.8
1.1	29.0	21.2
0.0	30.8	19.8
0.0	31.8	19.2
3.0	31.8	20.0
0.0	31.8	20.3
0.0	31.0	19.0
0.0	29.8	19.0
0.0	28.6	19.8
0.0	29.8	18.8
6.7	28.2	19.6
0.0	29.8	16.2
4.0	28.0	18.0
0.2	29.0	19.0
1.2	31.0	18.6
0.5	30.4	18.8
0.0	32.6	17.8
0.0	30.2	18.2
0.0	30.2	18.0
0.0	31.4	18.2
0.0	30.2	20.4
0.0	30.8	20.3
5.3	30.8	19.0
1.2	27.6	19.8
0.0	30.6	19.6
2.8	30.4	16.9
0.0	29.0	16.7
5.5	32.0	18.5
0.0	31.4	18.8
0.0	31.2	18.0
0.0	27.6	18.8
8.6	28.2	18.0
4.9	28.2	16.9
0.0	26.8	18.9
0.0	31.4	14.7
8.6	27.8	18.0
8.3	28.0	18.0
0.0	29.0	18.5
1.2	31.4	19.0
0.0	31.2	19.0
0.0	28.0	18.8
0.0	30.0	17.0
2.0	29.4	18.8
0.0	29.0	18.8
0.0	29.2	19.0
4.0	29.8	17.8
0.0	29.8	17.0
0.0	31.4	18.0
3.4	30.0	19.0
4.7	29.1	20.0
0.0	30.2	16.0
20.6	29.1	19.2
1.5	29.3	18.8
20.0	32.0	19.0
7.3	28.4	17.8
3.7	30.0	17.8
0.0	30.6	20.7
0.0	30.6	19.6
0.0	31.4	18.4
0.0	31.4	19.0
4.5	30.0	18.8
1.0	30.0	19.8
3.1	30.2	17.6
0.0	30.2	17.0
0.0	31.0	16.8
0.0	30.8	19.0
1.3	27.8	18.8
5.1	28.4	17.0
0.0	28.6	19.3
7.0	27.8	20.0
1.5	29.7	19.0
10.1	29.6	18.0
31.5	25.4	20.0
2.7	26.0	19.4
0.0	29.6	22.7
7.3	26.6	22.0
0.8	31.0	21.8
0.0	33.0	19.0
0.0	30.0	19.2
5.4	29.0	19.4
0.2	29.8	20.0
2.5	31.4	19.0
1.9	31.2	20.6
2.2	30.6	22.0
0.0	29.2	21.0
5.8	30.8	22.0
9.6	31.8	20.6
0.0	29.2	21.0
0.0	30.2	19.0
0.0	30.2	18.6
1.4	29.4	20.0
0.0	29.6	18.0
0.7	30.0	18.0
4.1	26.2	19.6
0.6	26.8	20.0
5.2	30.1	19.0
0.6	29.5	19.0
0.0	30.0	19.4
0.0	31.8	19.2
0.0	30.2	19.7
0.0	30.8	19.0
0.0	30.0	17.4
0.0	30.4	18.8
0.0	33.0	18.0
0.0	30.2	19.0
0.0	30.2	18.2
0.0	31.4	18.8
0.0	30.4	19.6
1.2	29.8	20.2
8.5	31.0	18.6
0.0	31.0	19.2
4.1	30.6	18.6
0.0	28.6	17.0
0.0	30.2	18.5
0.0	30.4	18.8
0.0	30.4	17.8
0.0	31.2	17.4
0.0	31.2	16.8
0.0	30.8	17.6
0.0	30.0	15.5
0.0	29.2	17.6
0.0	30.2	17.2
0.0	30.0	15.8
0.0	30.2	14.7
0.0	29.6	14.8
0.0	30.2	18.0
0.0	30.6	16.0
0.0	30.2	18.0
0.0	30.2	17.0
0.0	30.4	18.8
0.0	30.0	16.8
0.0	30.2	15.6
0.0	29.6	15.2
0.0	30.0	16.8
0.0	29.6	17.4
