0	11.3	27.3	9.7	1.6
0	11.3	26.7	9.2	1.9
0	8.6	26.7	9.3	1.3
0	7.6	27.2	10.1	1.1
0	9.1	27.9	10.2	1.0
0	7.6	27.2	9.9	0.9
0	7.1	27.3	10.3	0.9
0	7.9	27.8	10.4	1.3
0	10.2	27.7	10.2	1.4
0	8.7	28.7	10.1	1.3
0	10.3	29.7	10.5	2.0
0	12.6	30	10.6	2.7
0	15.4	30.2	10.4	2.7
0	13.2	31.2	6	0.9
0	14.4	32.1	8.2	1.7
0	14.8	32.5	7.9	1.9
0	13.4	31.6	8	1.9
0	10.6	30.8	9.5	1.9
0	13.5	31.2	10.5	0.9
0	10.7	30.9	10.4	1.3
0	13	31.6	10.6	1.3
0	12.9	35	6	1.2
0	10.3	33.7	10.5	1.4
0	10.8	30.9	10.3	1.1
0	11.6	30.8	10.5	1.1
0	16.6	29.6	10.4	2.1
0	13.8	28.9	9.8	2.0
0	14.2	29.2	10.4	2.4
0	12	29.5	10	1.8
0	10.8	30.2	9.9	0.8
0	8.3	30.8	10.5	1.2
0	11.8	30.4	10.4	1.4
0	12.2	31.6	10.7	2.6
0	13.4	31.6	10.4	2.0
0	14.9	33.6	10.3	1.7
0	15	32	10.4	2.1
0	14.6	33.2	10.5	2.3
0	11	31.6	8.7	1.4
0	15.7	32.4	10.3	1.3
0	17.1	32.6	9.2	2.7
0	18.4	32	9.4	1.6
0	17.4	33.8	9.7	2.7
0	15.5	32.6	10.2	2.0
0	14.7	30.9	10.3	1.4
0	16.7	30.8	5.7	2.0
0	16.7	29.7	8	2.5
0	17.5	30.4	8.6	2.6
0	17.7	32.2	8	2.1
0	13	32.8	9.9	1.8
0	13.9	31.7	10.2	1.3
0	18.2	31.7	8.3	4.0
0	17.5	32.2	10.2	3.5
0	18	32.1	9.2	3.1
0	18.4	28.2	5.2	4.3
0	18	30	6.5	4.2
0	19	29.7	5.8	2.9
55.6	16.8	29.4	5.5	2.5
2.2	15.5	26.2	2.7	2.7
0	14.5	28.9	9.4	1.1
0	11.3	30.2	10.2	1.3
0	12.7	31.2	11	1.4
0	15.1	33.4	10.7	1.5
0	15.7	34.8	10.7	1.8
0	15.2	34.8	10.5	1.7
0	15.9	35.7	10.7	1.8
0	14.6	35.2	10.5	1.9
0	16.4	34.2	10.5	3.2
0	15.8	34.2	10.5	1.7
0	14.2	33.4	10.4	1.5
0	12.4	33.5	10.5	1.7
0	13.2	34.3	10.5	1.2
0	13.7	35.4	10.7	1.4
0	13.9	36.2	10.5	1.6
0	16.4	35.7	10.6	1.7
0	15.1	34.2	10.4	1.6
0	13.8	34.7	10.9	1.1
0	15.4	34.8	10.7	1.5
0	17.3	35.8	10.1	1.6
0	17	36.3	10.8	1.5
0	16.3	35.9	10.5	1.3
0	17	36.3	10.2	1.1
0	18.8	36	9.8	3.1
0	16	35.4	10.1	3.9
0	17.4	35.8	10.5	1.8
0	16.2	35.2	10.5	1.5
0	17.8	35.7	9.8	2.2
0	20.6	35.2	9.9	2.2
0	19.5	34.7	8.9	2.6
0	17.8	35.4	9.1	1.9
0	14.5	35.7	10.1	1.6
0	14.4	37.4	10.5	1.4
0	17.8	38	10.4	1.6
0	19.6	36	10.4	2.7
0	19.2	37.2	10.7	2.7
0	20.1	38.2	10.7	3.1
0	20.1	38.8	10.2	2.4
0	19.1	39.2	10.3	2.4
0	20.9	39	10.2	2.5
0	20.2	38.2	9.4	2.5
0	21.4	40	7.8	1.7
0	19.4	40.2	10.6	1.8
0	20.3	40.4	10.5	1.8
0	22.6	40.2	9	1.7
0	23.2	40	9.8	2.1
0	20.3	40	9.1	2.3
0	22.9	40.3	9.5	2.6
0	23.1	39	10.7	2.3
0	21	40.2	9.1	2.8
