,Tx,Tn,Pr,ET0
20230722,19.5,11.61,0.0,3.4215380909014117
20230723,19.13,10.81,0.0,3.055030991490042
20230724,18.4,10.61,1.41,2.996568818333816
20230725,20.44,10.75,6.92,3.15716266911602
20230726,20.23,14.0,6.44,1.5904072731613215
20230727,20.17,13.37,1.82,2.766385269499207
20230728,17.83,12.78,15.51,1.601058945502765
20230729,19.23,10.78,2.24,3.3338678394496526
20230730,22.44,12.89,0.0,3.9782927794163294
20230731,22.48,13.18,2.54,3.4299091438364306
20230801,23.51,12.4,0.0,4.001450512243964
20230802,23.49,16.89,12.9,2.5126196649715733
20230803,22.26,16.73,17.97,2.0057912137484855
20230804,22.58,15.78,4.46,3.262122999800997
20230805,23.21,14.67,0.0,4.084073862809178
20230806,28.0,15.94,12.98,3.7152081351161805
20230807,28.85,21.34,0.0,4.631484932129149
20230808,22.22,13.59,9.49,3.0888427480379153
20230809,20.48,12.05,0.0,3.272620494954272
20230810,22.18,10.62,0.0,3.6914905071733997
20230811,22.49,12.93,0.0,2.4335616320867604
20230812,23.2,12.98,0.0,2.2045555096575193
20230813,23.61,14.73,8.41,2.427972151664831
20230814,22.33,13.62,0.0,2.8671015224293837
20230815,23.09,12.96,0.0,3.526928749428042
20230816,27.4,13.04,0.0,2.8205376361666032
20230817,25.32,14.0,1.93,3.412696411153008
20230818,21.46,13.53,0.0,2.557382518191243
20230819,18.47,13.48,6.92,1.0019794749476651
20230820,19.68,9.55,2.55,2.7066832030029597
20230821,19.95,8.06,0.0,3.001920192404329
20230822,20.89,11.24,1.23,1.2647758306620984
20230823,24.65,11.25,2.37,1.4468104262740078
20230824,17.12,9.56,1.08,2.0852815489846277
20230825,19.56,10.83,2.69,2.407046910046549
20230826,20.44,11.39,0.0,2.519354219496873
20230827,20.21,10.0,1.43,2.7618484401539236
20230828,16.74,10.72,2.34,2.015770170581152
20230829,19.89,11.25,0.0,2.452657619941651
20230830,19.62,12.43,2.94,0.8446852711518035
20230831,24.21,16.34,4.5,2.8760211641697255
20230901,21.33,14.29,2.08,2.0886016813129706
